InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
54_GUTHRAM_6319,54,6319,Santa Cristina Toscana,750mL,1,10.95,10.95,2024-09-30,750.0,2,0.11,8673,STE MICHELLE WINE ESTATES  
50_MOUNTMEND_12771,50,12771,Joel Gott Cab Svgn 815,750mL,3,38.97,12.99,2024-10-26,750.0,2,0.34,8892,TRINCHERO FAMILY ESTATES   
65_LUTON_39599,65,39599,R M Woodbridge Chard Cal,187mL 4 Pk,1,7.99,7.99,2024-01-31,187.0,2,0.03,1392,CONSTELLATION BRANDS INC   
12_LEESIDE_3485,12,3485,Luksusowa Potato Vodka,1.75L,3,59.97,19.99,2024-06-17,1750.0,1,5.51,4425,MARTIGNETTI COMPANIES
22_SHARNWICK_3310,22,3310,Pinnacle Vodka,375mL,2,11.98,5.99,2024-12-03,375.0,1,0.79,12546,JIM BEAM BRANDS COMPANY    
60_IRRAGIN_33960,60,33960,Allegrini Valpolicella Clsc,750mL,1,15.99,15.99,2024-08-14,750.0,2,0.11,3252,E & J GALLO WINERY         
68_SOLARIS_5233,68,5233,Cointreau Liqueur,375mL,2,41.98,20.99,2024-03-05,375.0,1,0.79,7239,REMY COINTREAU USA INC     
76_DONCASTER_1261,76,1261,Jim Beam Kentucky Fire,50mL,4,3.96,0.99,2024-05-30,50.0,1,0.21,12546,JIM BEAM BRANDS COMPANY    
11_CARDEND_12697,11,12697,Tapiz Malbec Mendoza,750mL,2,23.98,11.99,2024-09-28,750.0,2,0.22,653,STATE WINE & SPIRITS   
18_FURNESS_31186,18,31186,Almaden Merlot Cal B/B,5L,2,31.98,15.99,2024-02-15,5000.0,2,1.5,9815,WINE GROUP INC             
56_BEGGAR'S HOLE_8590,56,8590,Arrow Peppermint Schnapps,750mL,1,7.99,7.99,2024-09-12,750.0,1,0.79,8352,LUXCO INC                  
8_ALNERWICK_8451,8,8451,Cruzan Aged Dark Rum,1.75L,1,16.99,16.99,2024-12-17,1750.0,1,1.84,12546,JIM BEAM BRANDS COMPANY    
49_GARIGILL_1737,49,1737,Makers Mark,1.75L,1,52.99,52.99,2024-03-08,1750.0,1,1.84,12546,JIM BEAM BRANDS COMPANY    
66_EANVERNESS_36523,66,36523,Ch Macard Brdx Superieur,750mL,4,59.96,14.99,2024-02-12,750.0,2,0.45,4425,MARTIGNETTI COMPANIES
77_TAMWORTH_3161,77,3161,New Amsterdam Red Berry,750mL,1,10.99,10.99,2024-07-10,750.0,1,0.79,3252,E & J GALLO WINERY         
67_EANVERNESS_1956,67,1956,Balvenie 12 Yr Doublewood S,750mL,5,274.95,54.99,2024-12-17,750.0,1,3.94,3664,WILLIAM GRANT & SONS INC   
12_LEESIDE_3726,12,3726,Gilbeys Vodka Traveler,750mL,2,9.98,4.99,2024-09-14,750.0,1,1.57,12546,JIM BEAM BRANDS COMPANY    
8_ALNERWICK_6173,8,6173,Gallo Fairbanks Red Port,1.5L,2,15.98,7.99,2024-05-31,1500.0,2,0.45,3252,E & J GALLO WINERY         
78_EASTHAVEN_23739,78,23739,Liberty School Cab Svgn,750mL,1,13.99,13.99,2024-03-08,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
10_HORNSEY_5033,10,5033,Fireball Cinnamon Whisky,Liter,1,17.99,17.99,2024-10-31,1000.0,1,1.05,8004,SAZERAC CO INC             
51_ABERDEEN_3476,51,3476,Reyka Vodka,750mL,1,19.99,19.99,2024-11-26,750.0,1,0.79,3664,WILLIAM GRANT & SONS INC   
74_PAENTMARWY_1238,74,1238,The Glenlivet 12 Yr Single,50mL,1,4.99,4.99,2024-04-16,50.0,1,0.05,17035,PERNOD RICARD USA          
2_ASHBORNE_3630,2,3630,Stolichnaya Razberi,1.75L,6,149.94,24.99,2024-05-25,1750.0,1,11.02,8664,"STOLI GROUP,(USA) LLC      "
39_EASTHALLOW_26352,39,26352,Armas de Guerra Rosado Mncia,750mL,1,13.99,13.99,2024-07-24,750.0,2,0.11,10754,PERFECTA WINES             
2_ASHBORNE_3979,2,3979,Vesica Potato Vodka,1.75L,1,16.99,16.99,2024-08-12,1750.0,1,1.84,60,ADAMBA IMPORTS INTL INC    
29_AYLESBURY_1416,29,1416,Old Grand Dad,1.75L,1,27.99,27.99,2024-01-02,1750.0,1,1.84,12546,JIM BEAM BRANDS COMPANY    
23_ARBINGTON_46582,23,46582,Grayson Cellars Pnt Nr Cntrl,750mL,1,12.99,12.99,2024-06-16,750.0,2,0.11,10754,PERFECTA WINES             
6_GOULCREST_8395,6,8395,Casamigos Anejo,750mL,1,61.99,61.99,2024-11-11,750.0,1,0.79,6213,MHW LTD                    
79_BALLYMENA_3128,79,3128,Ocean Organic Vodka,50mL,4,23.96,5.99,2024-12-06,50.0,1,0.21,9165,ULTRA BEVERAGE COMPANY LLP 
69_MOUNTMEND_8032,69,8032,Ballatore Gran Spumante,750mL,6,47.94,7.99,2024-11-22,750.0,2,0.68,3252,E & J GALLO WINERY         
73_DONCASTER_676,73,676,Pinnacle Whipped Vodka,750mL,1,10.99,10.99,2024-02-14,750.0,1,0.79,12546,JIM BEAM BRANDS COMPANY    
64_CESTERFIELD_8155,64,8155,Black Velvet Plastic,375mL,1,4.99,4.99,2024-12-16,375.0,1,0.39,1392,CONSTELLATION BRANDS INC   
67_EANVERNESS_3791,67,3791,Jose Cuervo Especial Silver,375mL,1,10.99,10.99,2024-09-05,375.0,1,0.39,7245,PROXIMO SPIRITS INC.       
34_PITMERDEN_903,34,903,Bombay Sapphire Gin,Liter,3,74.97,24.99,2024-07-05,1000.0,1,3.15,480,BACARDI USA INC            
59_CLAETHORPES_3802,59,3802,Three Olives Vodka,1.75L,6,113.94,18.99,2024-12-10,1750.0,1,11.02,7245,PROXIMO SPIRITS INC.       
76_DONCASTER_44912,76,44912,Broadbent Madeira Rainwater,750mL,1,16.99,16.99,2024-08-27,750.0,2,0.11,90024,VINILANDIA USA             
30_CULCHETH_3876,30,3876,Smirnoff 80 Proof,1.75L,2,39.98,19.99,2024-05-14,1750.0,1,3.67,3960,DIAGEO NORTH AMERICA INC   
15_WANBORNE_5103,15,5103,Fireball Cinnamon Whisky,1.75L,1,24.99,24.99,2024-06-15,1750.0,1,1.84,8004,SAZERAC CO INC             
1_HARDERSFIELD_3762,1,3762,Patron Silver Tequila,50mL,2,11.98,5.99,2024-09-11,50.0,1,0.1,9165,ULTRA BEVERAGE COMPANY LLP 
35_HALIVAARA_41252,35,41252,Beringer Classic Pnt Grigio,1.5L,1,7.99,7.99,2024-12-11,1500.0,2,0.22,9819,TREASURY WINE ESTATES      
7_STANMORE_8504,7,8504,R M Woodbridge Cab Svgn Cal,1.5L,6,59.94,9.99,2024-06-02,1500.0,2,1.35,1392,CONSTELLATION BRANDS INC   
12_LEESIDE_25588,12,25588,High Valley Znfdl,750mL,4,55.96,13.99,2024-07-17,750.0,2,0.45,2000,SOUTHERN WINE & SPIRITS NE 
69_MOUNTMEND_25575,69,25575,Louis Latour 14 St Veran Bla,750mL,12,191.88,15.99,2024-12-10,750.0,2,1.35,9552,M S WALKER INC             
23_ARBINGTON_5401,23,5401,Jagermeister Liqueur,200mL,3,14.97,4.99,2024-11-23,200.0,1,0.63,3089,SIDNEY FRANK IMPORTING CO  
7_STANMORE_37821,7,37821,Frescobaldi Sangiovese Remo,750mL,2,13.98,6.99,2024-03-01,750.0,2,0.22,9165,ULTRA BEVERAGE COMPANY LLP 
38_GOULCREST_4250,38,4250,Zaya Grand Reserva Rum,750mL,2,69.98,34.99,2024-08-20,750.0,1,1.57,9165,ULTRA BEVERAGE COMPANY LLP 
13_TARMSWORTH_3351,13,3351,Pinnacle Whipped Vodka,1.75L,3,50.97,16.99,2024-09-27,1750.0,1,5.51,12546,JIM BEAM BRANDS COMPANY    
14_BROMWICH_7198,14,7198,New Amsterdam Pineapple Vdka,750mL,1,10.99,10.99,2024-02-26,750.0,1,0.79,3252,E & J GALLO WINERY         
66_EANVERNESS_3444,66,3444,Hornitos Plata Tequila,1.75L,1,32.99,32.99,2024-06-12,1750.0,1,1.84,12546,JIM BEAM BRANDS COMPANY    
10_HORNSEY_46489,10,46489,Eppa Red Sangria Organic,750mL,1,12.99,12.99,2024-07-13,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
7_STANMORE_5447,7,5447,Jagermeister Liqueur,375mL,3,29.97,9.99,2024-10-14,375.0,1,1.18,3089,SIDNEY FRANK IMPORTING CO  
76_DONCASTER_3583,76,3583,Smirnoff Orange Vodka,1.75L,1,18.99,18.99,2024-11-28,1750.0,1,1.84,3960,DIAGEO NORTH AMERICA INC   
34_PITMERDEN_15138,34,15138,Black Stallion Cab Svgn Napa,750mL,5,124.95,24.99,2024-12-24,750.0,2,0.56,2242,DELICATO VINEYARDS INC     
73_DONCASTER_63,73,63,Herradura Reposado Tequila,750mL,1,38.99,38.99,2024-07-25,750.0,1,0.79,1128,BROWN-FORMAN CORP          
74_PAENTMARWY_4945,74,4945,Jacquin Ginger Brandy,750mL,4,41.96,10.49,2024-09-28,750.0,1,3.15,4380,CHARLES JACQUIN ET CIE INC 
20_BREDWARDINE_1515,20,1515,Old Overholt,750mL,1,13.99,13.99,2024-01-21,750.0,1,0.79,12546,JIM BEAM BRANDS COMPANY    
23_ARBINGTON_40559,23,40559,McManis Cab Svgn Cal,750mL,1,10.99,10.99,2024-01-26,750.0,2,0.11,653,STATE WINE & SPIRITS   
43_WOLFORD_3980,43,3980,Hornitos Reposado Tequila,1.75L,2,79.98,39.99,2024-04-07,1750.0,1,3.67,12546,JIM BEAM BRANDS COMPANY    
76_DONCASTER_10420,76,10420,Barefoot Moscato Cal,750mL,9,44.91,4.99,2024-12-11,750.0,2,1.01,3252,E & J GALLO WINERY         
76_DONCASTER_2646,76,2646,Chivas Regal,1.75L,1,59.99,59.99,2024-01-29,1750.0,1,1.84,17035,PERNOD RICARD USA          
72_HARDERSFIELD_8961,72,8961,Jose Cuervo Especial,50mL,7,10.43,1.49,2024-05-21,50.0,1,0.37,7245,PROXIMO SPIRITS INC.       
66_EANVERNESS_16327,66,16327,Black Box Merlot,500mL,1,3.99,3.99,2024-05-08,500.0,2,0.08,1392,CONSTELLATION BRANDS INC   
50_MOUNTMEND_1174,50,1174,Rebel Yell,1.75L,1,19.99,19.99,2024-07-08,1750.0,1,1.84,8352,LUXCO INC                  
14_BROMWICH_4201,14,4201,Calico Jack Silver Rum,1.75L,1,12.99,12.99,2024-09-08,1750.0,1,1.84,12546,JIM BEAM BRANDS COMPANY    
57_LANTEGLOS_4932,57,4932,Arrow Ginger Brandy,750mL,1,7.99,7.99,2024-12-13,750.0,1,0.79,8352,LUXCO INC                  
61_AETHELNEY_2366,61,2366,Templeton Rye Whiskey,750mL,1,36.99,36.99,2024-02-14,750.0,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP 
79_BALLYMENA_3606,79,3606,Smirnoff Raspberry Vodka,50mL,7,6.93,0.99,2024-05-18,50.0,1,0.37,3960,DIAGEO NORTH AMERICA INC   
48_NORFOLK_4227,48,4227,Bacardi Superior Rum Trav,1.75L,14,251.86,17.99,2024-02-13,1750.0,1,25.72,480,BACARDI USA INC            
23_ARBINGTON_23739,23,23739,Liberty School Cab Svgn,750mL,1,14.99,14.99,2024-12-16,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
34_PITMERDEN_8424,34,8424,1800 Coconut Tequila,750mL,3,68.97,22.99,2024-07-16,750.0,1,2.36,7245,PROXIMO SPIRITS INC.       
68_SOLARIS_32907,68,32907,Sterling Vintners Cltn Chard,750mL,2,19.98,9.99,2024-06-11,750.0,2,0.22,1590,DIAGEO CHATEAU ESTATE WINES
67_EANVERNESS_8680,67,8680,Crown Royal,1.75L,1,39.99,39.99,2024-05-05,1750.0,1,1.84,3960,DIAGEO NORTH AMERICA INC   
38_GOULCREST_22087,38,22087,Juxtapoz Red North Cst,750mL,1,14.99,14.99,2024-08-31,750.0,2,0.11,2242,DELICATO VINEYARDS INC     
66_EANVERNESS_4662,66,4662,Capt Morgan White PET,1.75L,3,59.97,19.99,2024-07-03,1750.0,1,5.51,3960,DIAGEO NORTH AMERICA INC   
53_HILLFAR_24612,53,24612,Estancia Pnt Nr Monterey,750mL,2,18.98,9.49,2024-08-19,750.0,2,0.22,1392,CONSTELLATION BRANDS INC   
34_PITMERDEN_1892,34,1892,Yukon Jack,50mL,21,20.79,0.99,2024-06-08,50.0,1,1.1,3960,DIAGEO NORTH AMERICA INC   
24_PALPERROTH_37071,24,37071,Caymus Conundrum White,750mL,1,22.99,22.99,2024-02-26,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
76_DONCASTER_3345,76,3345,Bombay Sapphire Gin,50mL,1,1.99,1.99,2024-03-26,50.0,1,0.05,480,BACARDI USA INC            
15_WANBORNE_8673,15,8673,Skinnygirl Margarita,750mL,1,9.99,9.99,2024-07-24,750.0,1,0.79,12546,JIM BEAM BRANDS COMPANY    
79_BALLYMENA_26463,79,26463,Ravenswood Vints Blend Znfdl,750mL,1,7.99,7.99,2024-03-23,750.0,2,0.11,1392,CONSTELLATION BRANDS INC   
9_BLACKPOOL_44719,9,44719,Cavit Prosecco Lunetta,750mL,8,71.92,8.99,2024-04-01,750.0,2,0.9,6785,PALM BAY INTERNATIONAL INC 
50_MOUNTMEND_19381,50,19381,O Wines Chard,750mL,1,10.49,10.49,2024-01-24,750.0,2,0.11,8673,STE MICHELLE WINE ESTATES  
76_DONCASTER_8000,76,8000,The Glenlivet 12 Yr Single,1.75L,4,275.96,68.99,2024-05-14,1750.0,1,7.35,17035,PERNOD RICARD USA          
66_EANVERNESS_32367,66,32367,Cavit Pinot Noir Delle Vene,750mL,1,6.99,6.99,2024-01-17,750.0,2,0.11,6785,PALM BAY INTERNATIONAL INC 
59_CLAETHORPES_8513,59,8513,Baileys Irish Cream Mini's 4,100mL 4 Pk,1,10.99,10.99,2024-07-11,100.0,1,0.1,3960,DIAGEO NORTH AMERICA INC   
33_HORNSEY_38549,33,38549,Stemmari Nero D'Avola,750mL,1,6.99,6.99,2024-08-19,750.0,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
25_CAERSHIRE_8680,25,8680,Crown Royal,1.75L,1,38.99,38.99,2024-03-29,1750.0,1,1.84,3960,DIAGEO NORTH AMERICA INC   
15_WANBORNE_12666,15,12666,Carpineto Dogajolo Tuscan Wh,750mL,1,9.99,9.99,2024-01-19,750.0,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
40_BULLMAR_4130,40,4130,Kraken Black Spiced Rum,375mL,1,11.99,11.99,2024-12-29,375.0,1,0.39,7245,PROXIMO SPIRITS INC.       
24_PALPERROTH_3837,24,3837,Skyy Vodka,50mL,2,1.98,0.99,2024-06-11,50.0,1,0.1,11567,CAMPARI AMERICA            
69_MOUNTMEND_8523,69,8523,Glen Ellen Chard RSV,750mL,1,4.99,4.99,2024-05-31,750.0,2,0.11,9815,WINE GROUP INC             
54_GUTHRAM_1232,54,1232,Jack Daniels No 7 Black,750mL,4,87.96,21.99,2024-11-18,750.0,1,3.15,1128,BROWN-FORMAN CORP          
41_LARNWICK_5872,41,5872,Godiva Chocolate Liqueur,50mL,3,8.97,2.99,2024-10-05,50.0,1,0.16,3960,DIAGEO NORTH AMERICA INC   
50_MOUNTMEND_19977,50,19977,Hideyoshi Namacho Honjozo Sa,300mL,1,10.99,10.99,2024-11-15,300.0,2,0.04,7153,PINE STATE TRADING CO      
67_EANVERNESS_2828,67,2828,Tom Cat Barrel Aged Gin,750mL,1,44.99,44.99,2024-10-11,750.0,1,0.79,1273,CALEDONIA SPIRITS INC      
79_BALLYMENA_41034,79,41034,Menage a Trois Red,750mL,3,29.97,9.99,2024-02-18,750.0,2,0.34,8892,TRINCHERO FAMILY ESTATES   
34_PITMERDEN_38441,34,38441,Toasted Head Cab Svgn,750mL,1,10.99,10.99,2024-03-23,750.0,2,0.11,1392,CONSTELLATION BRANDS INC   
69_MOUNTMEND_3372,69,3372,Smirnoff Sourced Pineapple,750mL,1,9.49,9.49,2024-12-21,750.0,1,0.79,3960,DIAGEO NORTH AMERICA INC   
61_AETHELNEY_31320,61,31320,La Vieille Ferme Rose Vntoux,750mL,1,8.99,8.99,2024-06-16,750.0,2,0.11,1587,VINEYARD BRANDS INC        
66_EANVERNESS_41222,66,41222,C Krug Svgn Bl Napa,750mL,2,33.98,16.99,2024-11-01,750.0,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
27_MOUNTMEND_39335,27,39335,Phillips Seven Deadly Znfdl,750mL,1,14.99,14.99,2024-09-06,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
54_GUTHRAM_5628,54,5628,Baja Rosa Strawberry Liqueur,750mL,1,9.99,9.99,2024-08-27,750.0,1,0.79,8004,SAZERAC CO INC             
30_CULCHETH_3325,30,3325,Pinnacle Caramel Apple Vodka,750mL,2,21.98,10.99,2024-10-14,750.0,1,1.57,12546,JIM BEAM BRANDS COMPANY    
10_HORNSEY_8370,10,8370,Chi Chi's Margarita,1.75L,1,8.99,8.99,2024-12-22,1750.0,1,1.84,660,SAZERAC NORTH AMERICA INC. 
41_LARNWICK_8367,41,8367,Carlo Rossi Rhine Calif,4L,2,29.98,14.99,2024-11-28,4000.0,2,1.2,3252,E & J GALLO WINERY         
38_GOULCREST_29077,38,29077,Pine Ridge Chn Bl/Viognier,750mL,1,13.99,13.99,2024-08-28,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
10_HORNSEY_1064,10,1064,Jack Daniels Honey + Glass,750mL,1,22.99,22.99,2024-07-11,750.0,1,0.79,1128,BROWN-FORMAN CORP          
77_TAMWORTH_18653,77,18653,Fuki Plum Wine,750mL,1,11.99,11.99,2024-06-09,750.0,2,0.11,7153,PINE STATE TRADING CO      
7_STANMORE_8171,7,8171,Leroux Blackberry Brandy,50mL,1,0.99,0.99,2024-02-17,50.0,1,0.05,12546,JIM BEAM BRANDS COMPANY    
9_BLACKPOOL_19357,9,19357,Kendall Jackson Vntnr Rsv Ch,375mL,1,5.99,5.99,2024-12-22,375.0,2,0.06,10000,MAJESTIC FINE WINES        
48_NORFOLK_2656,48,2656,Cutty Sark,1.75L,1,24.99,24.99,2024-11-18,1750.0,1,1.84,2561,EDRINGTON AMERICAS         
33_HORNSEY_34133,33,34133,Turning Leaf RSV Cab Svgn,1.5L,1,8.99,8.99,2024-01-24,1500.0,2,0.22,3252,E & J GALLO WINERY         
11_CARDEND_3209,11,3209,Hammer & Sickle Vodka,750mL,1,19.99,19.99,2024-07-11,750.0,1,0.79,4550,KLIN SPIRITS LLC           
66_EANVERNESS_4124,66,4124,Blue Chair Bay Banana Cream,50mL,12,11.88,0.99,2024-12-03,50.0,1,0.63,6213,MHW LTD                    
47_PELLA'S WISH_5396,47,5396,Tia Maria Coffee Liqueur,750mL,1,17.99,17.99,2024-10-20,750.0,1,0.79,4692,KOBRAND CORPORATION        
56_BEGGAR'S HOLE_3820,56,3820,Smirnoff Citrus Vodka,1.75L,1,19.99,19.99,2024-05-31,1750.0,1,1.84,3960,DIAGEO NORTH AMERICA INC   
50_MOUNTMEND_2880,50,2880,Bird Dog Chocolate Whiskey,750mL,2,31.98,15.99,2024-04-16,750.0,1,1.57,9625,WESTERN SPIRITS BEVERAGE CO
73_DONCASTER_14672,73,14672,Duckhorn Decoy Cab Svgn,750mL,33,559.35,16.95,2024-11-19,750.0,2,3.71,4425,MARTIGNETTI COMPANIES
76_DONCASTER_32065,76,32065,Rosemount Cab Svgn/Merlot,750mL,2,13.98,6.99,2024-01-22,750.0,2,0.22,4425,MARTIGNETTI COMPANIES
10_HORNSEY_27567,10,27567,Zenato Pinot Grigio Veneto,750mL,2,23.98,11.99,2024-04-19,750.0,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
23_ARBINGTON_3505,23,3505,Tito's Handmade Vodka,750mL,2,37.98,18.99,2024-07-27,750.0,1,1.57,4425,MARTIGNETTI COMPANIES
64_CESTERFIELD_28889,64,28889,Peter Vella Chard Cal B/B,5L,1,15.49,15.49,2024-08-13,5000.0,2,0.75,3252,E & J GALLO WINERY         
